p,a,b,j,trace,order,aut_order,fb_m2,fb_m3,n_targets,hits_m2,hits_m3,order,full_liftable,liftable_density_W187,liftable_density_W375,liftable_density_W750,liftable_density_W1501,liftable_density_W3003,liftable_density_W6007,two_torsion_x,sumset_m2,sumset_m3,sumset_eff_m2,sumset_eff_m3,decomp_rate_m2,decomp_rate_m3,decomp_efficiency_m2,decomp_efficiency_m3,s3_support,liftable_identity_holds
6007,3019,31,2821,8,6000,2,40,13,400,167,146,6000,3000,0.5187165775401069,0.488,0.49733333333333335,0.5009993337774816,0.5054945054945055,0.49941734642916596,1,2480,2254,0.7654320987654321,0.688034188034188,0.4175,0.365,0.7731481481481481,0.6684981684981685,13,True
6007,5625,3750,2867,8,6000,2,40,13,400,177,160,6000,3000,0.5668449197860963,0.5306666666666666,0.5146666666666667,0.5116588940706196,0.5004995004995005,0.49941734642916596,1,2487,2396,0.7675925925925926,0.7313797313797313,0.4425,0.4,0.8194444444444444,0.7326007326007326,13,True
6007,4804,3601,2871,8,6000,2,40,13,400,164,154,6000,3000,0.48128342245989303,0.496,0.49066666666666664,0.5003331112591606,0.4961704961704962,0.49941734642916596,1,2498,2375,0.7709876543209877,0.724969474969475,0.41,0.385,0.7592592592592593,0.7051282051282052,13,True
6007,2981,5992,2918,8,6000,2,40,13,400,155,158,6000,3000,0.49732620320855614,0.49066666666666664,0.504,0.49033977348434377,0.49716949716949715,0.49941734642916596,1,2493,2462,0.7694444444444445,0.7515262515262515,0.3875,0.395,0.7175925925925926,0.7234432234432234,13,True
6007,4752,3497,2940,8,6000,2,40,13,400,164,163,6000,3001,0.45454545454545453,0.45066666666666666,0.4826666666666667,0.49233844103930713,0.4995004995004995,0.4995838188779757,3,2546,2287,0.7858024691358024,0.6981074481074481,0.41,0.4075,0.7592592592592593,0.7463369963369964,13,True
6007,163,326,3000,8,6000,2,40,13,400,162,139,6000,3001,0.5133689839572193,0.5146666666666667,0.496,0.480346435709527,0.4935064935064935,0.4995838188779757,3,2483,2243,0.766358024691358,0.6846764346764347,0.405,0.3475,0.75,0.6364468864468864,13,True
6007,4877,3747,3012,8,6000,2,40,13,400,164,163,6000,3000,0.48128342245989303,0.464,0.4746666666666667,0.4836775483011326,0.5048285048285048,0.49941734642916596,1,2504,2430,0.7728395061728395,0.7417582417582418,0.41,0.4075,0.7592592592592593,0.7463369963369964,13,True
6007,1977,1318,3036,8,6000,2,40,13,400,182,165,6000,3000,0.5561497326203209,0.5093333333333333,0.49866666666666665,0.49100599600266487,0.49983349983349984,0.49941734642916596,1,2521,2358,0.7780864197530865,0.7197802197802198,0.455,0.4125,0.8425925925925926,0.7554945054945055,13,True
6007,1377,2754,3081,8,6000,2,40,13,400,161,155,6000,3001,0.5401069518716578,0.528,0.48533333333333334,0.4943371085942705,0.5044955044955045,0.4995838188779757,3,2458,2333,0.758641975308642,0.7121489621489622,0.4025,0.3875,0.7453703703703703,0.7097069597069597,13,True
6007,1344,2688,3153,8,6000,2,40,13,400,149,149,6000,3000,0.5026737967914439,0.5173333333333333,0.5173333333333333,0.502998001332445,0.5004995004995005,0.49941734642916596,1,2524,2396,0.7790123456790123,0.7313797313797313,0.3725,0.3725,0.6898148148148148,0.6822344322344323,13,True
6007,260,520,3198,8,6000,2,40,13,400,163,160,6000,3001,0.5828877005347594,0.5066666666666667,0.5133333333333333,0.5076615589606929,0.5044955044955045,0.4995838188779757,3,2485,2352,0.7669753086419753,0.717948717948718,0.4075,0.4,0.7546296296296297,0.7326007326007326,13,True
6007,1441,2963,3222,8,6000,2,40,13,400,167,146,6000,3000,0.4919786096256685,0.4826666666666667,0.4866666666666667,0.4776815456362425,0.4825174825174825,0.49941734642916596,1,2409,2279,0.7435185185185185,0.6956654456654456,0.4175,0.365,0.7731481481481481,0.6684981684981685,13,True
6007,1295,4868,3316,8,6000,2,40,13,400,161,152,6000,3000,0.47058823529411764,0.512,0.5093333333333333,0.5023317788141239,0.4958374958374958,0.49941734642916596,1,2504,2308,0.7728395061728395,0.7045177045177046,0.4025,0.38,0.7453703703703703,0.6959706959706959,13,True
6007,4466,2925,3330,8,6000,2,40,13,400,168,155,6000,3001,0.5454545454545454,0.512,0.5186666666666667,0.5076615589606929,0.49716949716949715,0.4995838188779757,3,2460,2341,0.7592592592592593,0.7145909645909646,0.42,0.3875,0.7777777777777778,0.7097069597069597,13,True
